Reservoir,Site,DateTime,Depth_m,TLi_mgL,SLi_mgL,TNa_mgL,SNa_mgL,TMg_mgL,SMg_mgL,TAl_mgL,SAl_mgL,TSi_mgL,SSi_mgL,TK_mgL,SK_mgL,TCa_mgL,SCa_mgL,TFe_mgL,SFe_mgL,TMn_mgL,SMn_mgL,TCu_mgL,SCu_mgL,TSr_mgL,SSr_mgL,TBa_mgL,SBa_mgL,Flag_DateTime,Flag_TLi_mgL,Flag_SLi_mgL,Flag_TNa_mgL,Flag_SNa_mgL,Flag_TMg_mgL,Flag_SMg_mgL,Flag_TAl_mgL,Flag_SAl_mgL,Flag_TSi_mgL,Flag_SSi_mgL,Flag_TK_mgL,Flag_SK_mgL,Flag_TCa_mgL,Flag_SCa_mgL,Flag_TFe_mgL,Flag_SFe_mgL,Flag_TMn_mgL,Flag_SMn_mgL,Flag_TCu_mgL,Flag_SCu_mgL,Flag_TSr_mgL,Flag_SSr_mgL,Flag_TBa_mgL,Flag_SBa_mgL
FCR,100.1,2020-03-24 12:00:00,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1
FCR,100.1,2020-04-20 12:00:00,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1
FCR,100.1,2020-05-11 12:00:00,0.1,0.0039,NA,9.9844,NA,3.4974,NA,3.6329,NA,32.7862,NA,5.6638,NA,8.2401,NA,5.6831,NA,0.6403,NA,0.0068,NA,0.0581,NA,0.1462,NA,1,68,1,68,1,68,1,68,1,68,1,68,1,6,1,6,1,6,1,68,1,6,1,68,1
FCR,100.1,2020-05-25 12:00:00,0.1,0.0022,NA,4.2126,NA,1.5869,NA,2.3377,NA,14.698,NA,2.3476,NA,3.6313,NA,3.4533,NA,0.3513,NA,0.0079,NA,0.0266,NA,0.0814,NA,1,68,1,6,1,6,1,68,1,68,1,6,1,6,1,6,1,6,1,68,1,6,1,6,1
FCR,100.1,2020-06-08 12:00:00,0.1,0.0044,NA,9.0585,NA,3.4112,NA,3.8923,NA,30.4799,NA,5.2606,NA,7.5596,NA,6.3481,NA,0.6461,NA,0.0068,NA,0.0557,NA,0.1607,NA,1,68,1,68,1,68,1,68,1,68,1,68,1,6,1,6,1,6,1,68,1,6,1,68,1
FCR,100.1,2020-06-22 12:00:00,0.1,0.002,NA,4.0293,NA,1.6537,NA,2.1364,NA,13.9157,NA,2.4246,NA,3.6348,NA,3.4421,NA,0.3533,NA,0.0051,NA,0.0266,NA,0.0794,NA,1,6,1,6,1,6,1,68,1,6,1,6,1,6,1,6,1,6,1,68,1,6,1,6,1
FCR,100.1,2020-07-06 12:00:00,0.1,0.0019,NA,10.2744,NA,3.4587,NA,0.2396,NA,28.0255,NA,5.3709,NA,7.2857,NA,0.7478,NA,0.0358,NA,0.0029,NA,0.0499,NA,0.0697,NA,1,6,1,68,1,68,1,6,1,68,1,68,1,6,1,6,1,6,1,6,1,6,1,6,1
FCR,100.1,2020-07-20 12:00:00,0.1,0.0039,NA,10.2656,NA,3.994,NA,2.6242,NA,30.7901,NA,6.1337,NA,8.0712,NA,5.733,NA,0.5934,NA,0.0048,NA,0.0581,NA,0.1491,NA,1,68,1,68,1,68,1,68,1,68,1,68,1,6,1,6,1,6,1,68,1,6,1,68,1
FCR,100.1,2020-08-10 12:00:00,0.1,0.001,NA,0.5116,NA,0.2217,NA,0.9128,NA,3.9277,NA,0.4598,NA,0.4225,NA,0.833,NA,0.0595,NA,0.001,NA,0.0034,NA,0.0165,NA,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2020-09-02 12:00:00,0.1,0.001,NA,0.6921,NA,0.2357,NA,0.575,NA,4.128,NA,0.3359,NA,0.5251,NA,0.4467,NA,0.0436,NA,0.001,NA,0.0039,NA,0.0116,NA,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,3,1,6,1,6,1
FCR,100.1,2020-09-15 12:00:00,0.1,0.0029,NA,14.6449,NA,3.9485,NA,1.0851,NA,46.9093,NA,5.4542,NA,9.5919,NA,2.224,NA,0.2735,NA,0.0044,NA,0.0595,NA,0.0905,NA,1,68,1,68,1,68,1,6,1,68,1,68,1,6,1,6,1,6,1,6,1,6,1,6,1
FCR,100.1,2020-09-30 12:00:00,0.1,5e-4,NA,0.3348,NA,0.1256,NA,0.603,NA,2.4484,NA,0.2009,NA,0.279,NA,0.4475,NA,0.0374,NA,0.001,NA,0.0022,NA,0.0099,NA,1,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2020-10-05 12:00:00,0.1,5e-4,NA,0.343,NA,0.112,NA,0.3533,NA,2.1146,NA,0.1481,NA,0.2424,NA,0.2713,NA,0.0257,NA,0.001,NA,0.0018,NA,0.0068,NA,1,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2020-11-02 12:00:00,0.1,5e-4,NA,0.301,NA,0.1146,NA,0.2974,NA,1.9202,NA,0.1899,NA,0.2405,NA,0.2017,NA,0.0183,NA,0.001,NA,0.0018,NA,0.0059,NA,1,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2020-11-09 12:00:00,0.1,5e-4,NA,0.2999,NA,0.0983,NA,0.1817,NA,1.7268,NA,0.1371,NA,0.2154,NA,0.0968,NA,0.009,NA,0.001,NA,0.0013,NA,0.0035,NA,1,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,3,1,6,1,6,1
FCR,100.1,2021-04-16 12:00:00,0.1,0.001,NA,0.6026,NA,0.2159,NA,0.5339,NA,3.5192,NA,0.4061,NA,0.5058,NA,0.4574,NA,0.0552,NA,0.001,NA,0.0034,NA,0.0131,NA,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2021-04-26 12:00:00,0.1,5e-4,NA,0.2636,NA,0.0939,NA,0.207,NA,1.5059,NA,0.1421,NA,0.2275,NA,0.191,NA,0.0249,NA,0.001,NA,0.0015,NA,0.0053,NA,1,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,3,1,6,1,6,1
FCR,100.1,2021-05-06 12:00:00,0.1,0.001,NA,0.605,NA,0.2396,NA,0.8296,NA,4.0922,NA,0.407,NA,0.5789,NA,0.6723,NA,0.0692,NA,0.001,NA,0.0039,NA,0.016,NA,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2021-05-24 12:00:00,0.1,5e-4,NA,0.7531,NA,0.2556,NA,0.6002,NA,3.9373,NA,0.4012,NA,0.6016,NA,0.4714,NA,0.0513,NA,0.001,NA,0.0044,NA,0.0145,NA,1,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
