Reservoir,Site,DateTime,Depth_m,TLi_mgL,SLi_mgL,TNa_mgL,SNa_mgL,TMg_mgL,SMg_mgL,TAl_mgL,SAl_mgL,TSi_mgL,SSi_mgL,TK_mgL,SK_mgL,TCa_mgL,SCa_mgL,TFe_mgL,SFe_mgL,TMn_mgL,SMn_mgL,TCu_mgL,SCu_mgL,TSr_mgL,SSr_mgL,TBa_mgL,SBa_mgL,Flag_DateTime,Flag_TLi_mgL,Flag_SLi_mgL,Flag_TNa_mgL,Flag_SNa_mgL,Flag_TMg_mgL,Flag_SMg_mgL,Flag_TAl_mgL,Flag_SAl_mgL,Flag_TSi_mgL,Flag_SSi_mgL,Flag_TK_mgL,Flag_SK_mgL,Flag_TCa_mgL,Flag_SCa_mgL,Flag_TFe_mgL,Flag_SFe_mgL,Flag_TMn_mgL,Flag_SMn_mgL,Flag_TCu_mgL,Flag_SCu_mgL,Flag_TSr_mgL,Flag_SSr_mgL,Flag_TBa_mgL,Flag_SBa_mgL
FCR,50,2024-01-29 09:55:00,0.1,5e-4,5e-4,3.0801,3.4166,1.0628,1.0763,0.0353,0.0099,6.4519,6.6193,1.2048,1.1876,2.5604,2.6028,0.2574,0.1004,0.0315,0.015,0.0024,0.0018,0.016,0.016,0.0186,0.016,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-01-29 10:10:00,1.6,5e-4,5e-4,3.0599,3.2162,1.0628,1.0934,0.0386,0.0148,6.4456,6.6176,1.1892,1.4001,2.4959,2.6102,0.2687,0.1169,0.0323,0.0144,0.0028,0.0033,0.0159,0.0162,0.0185,0.0186,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-01-29 10:17:00,3.8,5e-4,5e-4,3.1461,3.1201,1.0877,1.0673,0.0376,0.0189,6.7269,6.6615,1.2171,1.1871,2.5925,2.5391,0.2712,0.1238,0.0329,0.0135,0.0019,0.0017,0.0164,0.016,0.0187,0.0189,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-01-29 10:26:00,5,5e-4,5e-4,3.0643,3.3319,1.0572,1.0671,0.0413,0.0092,6.2791,6.5899,1.1721,1.1861,2.511,2.5777,0.2683,0.1072,0.0327,0.0149,0.0021,0.0013,0.016,0.016,0.0182,0.0153,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-01-29 10:35:00,6.2,5e-4,5e-4,3.1811,3.3512,1.0867,1.0697,0.0386,0.0101,6.3834,6.5791,1.2302,1.1891,2.6075,2.6017,0.266,0.1016,0.0321,0.015,0.002,0.0013,0.0164,0.0161,0.0188,0.0164,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-01-29 10:45:00,8,5e-4,5e-4,3.0822,3.3811,1.073,1.0737,0.0396,0.0106,6.3266,6.5992,1.1961,1.2,2.5682,2.5992,0.2987,0.1053,0.0315,0.015,0.0019,0.0013,0.0161,0.016,0.0186,0.0161,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-01-29 10:55:00,9,5e-4,5e-4,3.099,3.6007,1.0655,1.0803,0.037,0.0081,6.3676,6.615,1.1984,1.1909,2.5607,2.5985,0.2659,0.0912,0.0318,0.0148,0.0019,0.0013,0.016,0.0161,0.0182,0.0162,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,100,2024-01-29 13:13:00,0.1,6e-4,6e-4,2.7182,6.4114,0.6967,0.6976,0.1073,0.0328,8.5695,8.4336,0.8124,0.4713,1.9011,2.0187,0.0818,0.0322,0.0051,0.003,0.001,0.001,0.0118,0.0113,0.0143,0.0087,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2024-02-13 11:47:00,0.1,5e-4,5e-4,3.0163,3.3806,1.0408,1.0489,0.0262,0.0051,5.9948,6.1499,1.1332,1.0697,2.5106,2.5906,0.2916,0.0992,0.0394,0.0051,0.0021,0.0014,0.0157,0.0158,0.0183,0.0152,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-13 11:55:00,1.6,5e-4,5e-4,3.0328,3.4552,1.0371,1.0643,0.0395,0.0068,5.863,6.2464,1.1345,1.0984,2.5093,2.6068,0.2838,0.1059,0.0394,0.004,0.002,0.0015,0.0155,0.0159,0.0185,0.0144,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-13 12:05:00,3.8,5e-4,5e-4,2.9963,3.395,1.028,1.0572,0.0255,0.0077,6.0407,6.2116,1.1261,1.0891,2.4885,2.5832,0.2962,0.1067,0.0415,0.0043,0.0021,0.0013,0.0156,0.0157,0.0184,0.015,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-13 12:13:00,5,5e-4,5e-4,3.0304,3.333,1.0488,1.0501,0.0275,0.0168,6.0244,6.2309,1.1311,1.1288,2.496,2.5739,0.3138,0.1067,0.046,0.0064,0.0021,0.0013,0.0156,0.0159,0.0186,0.0159,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-13 12:23:00,6.2,5e-4,5e-4,3.0203,3.4309,1.0469,1.0618,0.0285,0.0074,6.0815,6.2023,1.1402,1.076,2.5279,2.6298,0.33,0.1154,0.0527,0.0067,0.0022,0.0014,0.0159,0.0159,0.0188,0.0149,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-13 12:31:00,8,5e-4,5e-4,3.0801,3.3637,1.0542,1.0759,0.0269,0.0074,6.2439,6.3671,1.1737,1.1532,2.5764,2.6349,0.3197,0.1105,0.0461,0.003,0.0021,0.0014,0.0159,0.016,0.0188,0.0157,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-13 12:39:00,9,5e-4,5e-4,3.0805,3.3395,1.0614,1.0656,0.029,0.009,6.1674,6.2828,1.1762,1.1561,2.5863,2.6102,0.3694,0.1165,0.0557,0.0042,0.0023,0.0016,0.016,0.0161,0.0193,0.0161,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,100,2024-02-13 14:17:00,0.1,6e-4,6e-4,2.5936,2.9513,0.6823,0.6894,0.1529,0.0377,8.2361,8.1418,0.8374,0.7706,1.9265,2.0002,0.1556,0.0332,0.0125,0.0035,0.001,0.001,0.012,0.0121,0.016,0.0121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2024-02-27 10:40:00,0.1,5e-4,5e-4,3.0537,3.7971,1.0403,1.0701,0.0262,0.0055,6.0299,6.3457,1.1251,0.9557,2.5225,2.6616,0.3346,0.0976,0.0544,0.0016,0.0026,0.0017,0.0155,0.0157,0.0184,0.0128,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-27 10:48:00,1.6,5e-4,5e-4,3.0983,4.0569,1.0474,1.097,0.0441,0.0052,6.1479,6.5347,1.1421,0.9475,2.5346,2.772,0.345,0.1023,0.0553,0.0026,0.0026,0.0019,0.0159,0.0162,0.0188,0.0127,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-27 10:58:00,3.8,5e-4,5e-4,3.0946,3.5568,1.0574,1.0754,0.0256,0.0055,6.2698,6.3367000000000004,1.1379,1.07,2.5384,2.6652,0.3488,0.0998,0.0585,0.0012,0.0026,0.0015,0.0156,0.0159,0.0184,0.0151,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-27 11:10:00,5,5e-4,5e-4,3.0642,3.4348,1.0415,1.0599,0.0272,0.0045,6.1128,6.3395,1.1307,1.105,2.5285,2.5912,0.3732,0.0971,0.0655,0.0011,0.0027,0.0015,0.0157,0.0157,0.0187,0.0147,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-27 11:19:00,6.2,5e-4,5e-4,3.0541,3.5332,1.0403,1.071,0.0263,0.0051,6.164,6.3478,1.1329,1.0709,2.5271,2.6273,0.391,0.1062,0.0691,0.0013,0.0029,0.0015,0.0157,0.0158,0.0189,0.0149,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-27 11:28:00,8,5e-4,5e-4,3.0678,3.4662,1.0422,1.0531,0.0267,0.0046,6.0215,6.302,1.1232,1.0385,2.5194,2.5936,0.3897,0.1064,0.0696,0.0016,0.0027,0.0015,0.0157,0.0156,0.019,0.0147,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-02-27 11:40:00,9,5e-4,5e-4,3.0489,3.7166,1.0383,1.057,0.0289,0.005,6.1788,6.3075,1.1398,0.9338,2.5457,2.6004,0.4065,0.1081,0.073,0.0012,0.0028,0.0015,0.0158,0.0157,0.019,0.0133,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,100,2024-02-27 13:01:00,0.1,7e-4,6e-4,3.4247,3.8687,0.8331,0.8415,0.0404,0.0081,10.5842,10.6302,0.9329,0.8641,2.3588,2.4082,0.0497,0.01,0.0084,0.0031,0.001,0.001,0.0144,0.0145,0.0168,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0
